image_id,vehicle_id
000001.jpg,-1
000002.jpg,-1
000003.jpg,-1
000004.jpg,-1
000005.jpg,-1
000006.jpg,-1
000007.jpg,-1
000008.jpg,-1
000009.jpg,-1
000010.jpg,-1
000011.jpg,-1
000012.jpg,-1
000013.jpg,-1
000014.jpg,-1
000015.jpg,-1
000016.jpg,-1
000017.jpg,-1
000018.jpg,-1
000019.jpg,-1
000020.jpg,-1
000021.jpg,-1
000022.jpg,-1
000023.jpg,-1
000024.jpg,-1
000025.jpg,-1
000026.jpg,-1
000027.jpg,-1
000028.jpg,-1
000029.jpg,-1
000030.jpg,-1
000031.jpg,-1
000032.jpg,-1
000033.jpg,-1
000034.jpg,-1
000035.jpg,-1
000036.jpg,-1
000037.jpg,-1
000038.jpg,-1
000039.jpg,-1
000040.jpg,-1
000041.jpg,-1
000042.jpg,-1
000043.jpg,-1
000044.jpg,-1
000045.jpg,-1
000046.jpg,-1
000047.jpg,-1
000048.jpg,-1
000049.jpg,-1
000050.jpg,-1
000051.jpg,-1
000052.jpg,-1
000053.jpg,-1
000054.jpg,-1
000055.jpg,-1
000056.jpg,-1
000057.jpg,-1
000058.jpg,-1
000059.jpg,-1
000060.jpg,-1
000061.jpg,-1
000062.jpg,-1
000063.jpg,-1
000064.jpg,-1
000065.jpg,-1
000066.jpg,-1
000067.jpg,-1
000068.jpg,-1
000069.jpg,-1
000070.jpg,-1
000071.jpg,-1
000072.jpg,-1
000073.jpg,-1
000074.jpg,-1
000075.jpg,-1
000076.jpg,-1
000077.jpg,-1
000078.jpg,-1
000079.jpg,-1
000080.jpg,-1
000081.jpg,-1
000082.jpg,-1
000083.jpg,-1
000084.jpg,-1
000085.jpg,-1
000086.jpg,-1
000087.jpg,-1
000088.jpg,-1
000089.jpg,-1
000090.jpg,-1
000091.jpg,-1
000092.jpg,-1
000093.jpg,-1
000094.jpg,-1
000095.jpg,-1
000096.jpg,-1
000097.jpg,-1
000098.jpg,-1
000099.jpg,-1
000100.jpg,-1
000101.jpg,-1
000102.jpg,-1
000103.jpg,-1
000104.jpg,-1
000105.jpg,-1
000106.jpg,-1
000107.jpg,-1
000108.jpg,-1
000109.jpg,-1
000110.jpg,-1
000111.jpg,-1
000112.jpg,-1
000113.jpg,-1
000114.jpg,-1
000115.jpg,-1
000116.jpg,-1
000117.jpg,-1
000118.jpg,-1
000119.jpg,-1
000120.jpg,-1
000121.jpg,-1
000122.jpg,-1
000123.jpg,-1
000124.jpg,-1
000125.jpg,-1
000126.jpg,-1
000127.jpg,-1
000128.jpg,-1
000129.jpg,-1
000130.jpg,-1
000131.jpg,-1
000132.jpg,-1
000133.jpg,-1
000134.jpg,-1
000135.jpg,-1
000136.jpg,-1
000137.jpg,-1
000138.jpg,-1
000139.jpg,-1
000140.jpg,-1
000141.jpg,-1
000142.jpg,-1
000143.jpg,-1
000144.jpg,-1
000145.jpg,-1
000146.jpg,-1
000147.jpg,-1
000148.jpg,-1
000149.jpg,-1
000150.jpg,-1
000151.jpg,-1
000152.jpg,-1
000153.jpg,-1
000154.jpg,-1
000155.jpg,-1
000156.jpg,-1
000157.jpg,-1
000158.jpg,-1
000159.jpg,-1
000160.jpg,-1
000161.jpg,-1
000162.jpg,-1
000163.jpg,-1
000164.jpg,-1
000165.jpg,-1
000166.jpg,-1
000167.jpg,-1
000168.jpg,-1
000169.jpg,-1
000170.jpg,-1
000171.jpg,-1
000172.jpg,-1
000173.jpg,-1
000174.jpg,-1
000175.jpg,-1
000176.jpg,-1
000177.jpg,-1
000178.jpg,-1
000179.jpg,-1
000180.jpg,-1
000181.jpg,-1
000182.jpg,-1
000183.jpg,-1
000184.jpg,-1
000185.jpg,-1
000186.jpg,-1
000187.jpg,-1
000188.jpg,-1
000189.jpg,-1
000190.jpg,-1
000191.jpg,-1
000192.jpg,-1
000193.jpg,-1
000194.jpg,-1
000195.jpg,-1
000196.jpg,-1
000197.jpg,-1
000198.jpg,-1
000199.jpg,-1
000200.jpg,-1
000201.jpg,-1
000202.jpg,-1
000203.jpg,-1
000204.jpg,-1
000205.jpg,-1
000206.jpg,-1
000207.jpg,-1
000208.jpg,-1
000209.jpg,-1
000210.jpg,-1
000211.jpg,-1
000212.jpg,-1
000213.jpg,-1
000214.jpg,-1
000215.jpg,-1
000216.jpg,-1
000217.jpg,-1
000218.jpg,-1
000219.jpg,-1
000220.jpg,-1
000221.jpg,-1
000222.jpg,-1
000223.jpg,-1
000224.jpg,-1
000225.jpg,-1
000226.jpg,-1
000227.jpg,-1
000228.jpg,-1
000229.jpg,-1
000230.jpg,-1
000231.jpg,-1
000232.jpg,-1
000233.jpg,-1
000234.jpg,-1
000235.jpg,-1
000236.jpg,-1
000237.jpg,-1
000238.jpg,-1
000239.jpg,-1
000240.jpg,-1
000241.jpg,-1
000242.jpg,-1
000243.jpg,-1
000244.jpg,-1
000245.jpg,-1
000246.jpg,-1
000247.jpg,-1
000248.jpg,-1
000249.jpg,-1
000250.jpg,-1
000251.jpg,-1
000252.jpg,-1
000253.jpg,-1
000254.jpg,-1
000255.jpg,-1
000256.jpg,-1
000257.jpg,-1
000258.jpg,-1
000259.jpg,-1
000260.jpg,-1
000261.jpg,-1
000262.jpg,-1
000263.jpg,-1
000264.jpg,-1
000265.jpg,-1
000266.jpg,-1
000267.jpg,-1
000268.jpg,-1
000269.jpg,-1
000270.jpg,-1
000271.jpg,-1
000272.jpg,-1
000273.jpg,-1
000274.jpg,-1
000275.jpg,-1
000276.jpg,-1
000277.jpg,-1
000278.jpg,-1
000279.jpg,-1
000280.jpg,-1
000281.jpg,-1
000282.jpg,-1
000283.jpg,-1
000284.jpg,-1
000285.jpg,-1
000286.jpg,-1
000287.jpg,-1
000288.jpg,-1
000289.jpg,-1
000290.jpg,-1
000291.jpg,-1
000292.jpg,-1
000293.jpg,-1
000294.jpg,-1
000295.jpg,-1
000296.jpg,-1
000297.jpg,-1
000298.jpg,-1
000299.jpg,-1
000300.jpg,-1
000301.jpg,-1
000302.jpg,-1
000303.jpg,-1
000304.jpg,-1
000305.jpg,-1
000306.jpg,-1
000307.jpg,-1
000308.jpg,-1
000309.jpg,-1
000310.jpg,-1
000311.jpg,-1
000312.jpg,-1
000313.jpg,-1
000314.jpg,-1
000315.jpg,-1
000316.jpg,-1
000317.jpg,-1
000318.jpg,-1
000319.jpg,-1
000320.jpg,-1
000321.jpg,-1
000322.jpg,-1
000323.jpg,-1
000324.jpg,-1
000325.jpg,-1
000326.jpg,-1
000327.jpg,-1
000328.jpg,-1
000329.jpg,-1
000330.jpg,-1
000331.jpg,-1
000332.jpg,-1
000333.jpg,-1
000334.jpg,-1
000335.jpg,-1
000336.jpg,-1
000337.jpg,-1
000338.jpg,-1
000339.jpg,-1
000340.jpg,-1
000341.jpg,-1
000342.jpg,-1
000343.jpg,-1
000344.jpg,-1
000345.jpg,-1
000346.jpg,-1
000347.jpg,-1
000348.jpg,-1
000349.jpg,-1
000350.jpg,-1
000351.jpg,-1
000352.jpg,-1
000353.jpg,-1
000354.jpg,-1
000355.jpg,-1
000356.jpg,-1
000357.jpg,-1
000358.jpg,-1
000359.jpg,-1
000360.jpg,-1
000361.jpg,-1
000362.jpg,-1
000363.jpg,-1
000364.jpg,-1
000365.jpg,-1
000366.jpg,-1
000367.jpg,-1
000368.jpg,-1
