image_name,label,score
000001.jpg,0,0.9999906
000002.jpg,1,0.7276717
000003.jpg,0,0.9746027
000004.jpg,0,0.99481285
000005.jpg,0,0.99922943
000006.jpg,2,0.7851188
000007.jpg,0,0.9169471
000008.jpg,0,0.93563586
000009.jpg,1,0.99942905
000010.jpg,2,0.36546803
000011.jpg,2,0.8312185
000012.jpg,0,0.85759985
000013.jpg,0,0.9999529
000014.jpg,2,0.6813032
000015.jpg,0,0.8726709
000016.jpg,1,0.9187807
000017.jpg,1,0.6672492
000018.jpg,2,0.608672
000019.jpg,0,0.99654454
000020.jpg,0,0.9999186
000021.jpg,1,0.38164994
000022.jpg,0,0.56190354
000023.jpg,1,0.43958434
000024.jpg,0,0.9068
000025.jpg,6,0.90895504
000026.jpg,1,0.7871472
000027.jpg,0,0.9998766
000028.jpg,0,0.87363094
000029.jpg,0,0.9961163
000030.jpg,2,0.3130656
000031.jpg,0,0.99217075
000032.jpg,1,0.9951708
000033.jpg,2,0.8710526
000034.jpg,3,0.98013675
000035.jpg,0,0.7456287
000036.jpg,2,0.99958247
000037.jpg,0,0.99892706
000038.jpg,2,0.99868613
000039.jpg,2,0.94015247
000040.jpg,1,0.9991629
000041.jpg,2,0.3891188
000042.jpg,1,0.9982822
000043.jpg,1,0.403543
000044.jpg,0,0.98097575
000045.jpg,2,0.6937144
000046.jpg,1,0.92738324
000047.jpg,2,0.6229273
000048.jpg,1,0.9970119
000049.jpg,1,0.9945471
000050.jpg,0,0.9508968
000051.jpg,0,0.5810775
000052.jpg,0,0.8246289
000053.jpg,0,0.9452161
000054.jpg,1,0.8682783
000055.jpg,7,0.87128174
000056.jpg,1,0.7936921
000057.jpg,0,0.4463337
000058.jpg,1,0.48497176
000059.jpg,2,0.98096174
000060.jpg,0,0.52731955
000061.jpg,5,0.4040104
000062.jpg,0,0.46851683
000063.jpg,1,0.3843586
000064.jpg,4,0.5988063
000065.jpg,2,0.97784525
000066.jpg,0,0.9997398
000067.jpg,1,0.8681765
000068.jpg,1,0.53659886
000069.jpg,3,0.31441256
000070.jpg,1,0.983887
000071.jpg,0,0.88197
000072.jpg,2,0.3845719
000073.jpg,2,0.68349653
000074.jpg,0,0.9666022
000075.jpg,0,0.9990023
000076.jpg,0,0.94196063
000077.jpg,0,0.87350816
000078.jpg,3,0.6418875
000079.jpg,3,0.50047106
000080.jpg,1,0.9404581
000081.jpg,2,0.79291904
000082.jpg,0,0.9241782
000083.jpg,0,0.99986124
000084.jpg,3,0.32356915
000085.jpg,2,0.49755403
000086.jpg,2,0.48954338
000087.jpg,2,0.8976077
000088.jpg,3,0.68076706
000089.jpg,0,0.6039547
000090.jpg,0,0.99509686
000091.jpg,3,0.46140003
000092.jpg,2,0.9555531
000093.jpg,1,0.9711537
000094.jpg,0,0.99605954
000095.jpg,0,0.5326825
000096.jpg,2,0.7218599
000097.jpg,0,0.5026455
000098.jpg,0,0.71436924
000099.jpg,0,0.39557
000100.jpg,2,0.80069333
000101.jpg,0,0.99596393
000102.jpg,0,0.28940004
000103.jpg,0,0.99999917
000104.jpg,1,0.95618945
000105.jpg,2,0.6445262
000106.jpg,0,0.5533102
000107.jpg,0,0.9962494
000108.jpg,3,0.7449877
000109.jpg,0,0.504319
000110.jpg,2,0.9969902
000111.jpg,2,0.8749949
000112.jpg,2,0.7839854
000113.jpg,1,0.9995136
000114.jpg,0,0.9999738
000115.jpg,1,0.533027
000116.jpg,0,0.8251739
000117.jpg,2,0.34535858
000118.jpg,1,0.5112522
000119.jpg,0,0.963401
000120.jpg,0,0.9075387
000121.jpg,1,0.54681706
000122.jpg,1,0.83387256
000123.jpg,2,0.9995389
000124.jpg,0,0.46439797
000125.jpg,1,0.4494467
000126.jpg,0,0.7875906
000127.jpg,1,0.8358702
000128.jpg,0,0.94294983
000129.jpg,0,0.6964078
000130.jpg,1,0.52848685
000131.jpg,5,0.5108046
000132.jpg,2,0.4291303
000133.jpg,2,0.904041
000134.jpg,3,0.37955937
000135.jpg,1,0.8303661
000136.jpg,0,0.98417443
000137.jpg,0,0.9970618
000138.jpg,0,0.99996173
000139.jpg,0,0.99609756
000140.jpg,0,0.5467269
000141.jpg,0,0.92104745
000142.jpg,0,0.999585
000143.jpg,2,0.84320235
000144.jpg,0,0.9991067
000145.jpg,0,0.33010867
000146.jpg,0,0.8150408
000147.jpg,2,0.42809942
000148.jpg,0,0.9994252
000149.jpg,0,0.52713335
000150.jpg,1,0.9990664
000151.jpg,0,0.9925667
000152.jpg,1,0.8130813
000153.jpg,0,0.8163209
000154.jpg,0,0.999984
000155.jpg,1,0.4529352
000156.jpg,2,0.6716958
000157.jpg,0,0.9663627
000158.jpg,2,0.9857392
000159.jpg,3,0.6955863
000160.jpg,0,0.76610357
000161.jpg,1,0.9998375
000162.jpg,2,0.7629849
000163.jpg,0,0.9059924
000164.jpg,0,0.9395937
000165.jpg,0,0.9474195
000166.jpg,3,0.919888
000167.jpg,0,0.99991715
000168.jpg,2,0.5695559
000169.jpg,1,0.96846384
000170.jpg,2,0.5158333
000171.jpg,3,0.4258435
000172.jpg,2,0.4078511
000173.jpg,5,0.6998144
000174.jpg,0,0.99261415
000175.jpg,1,0.9508621
000176.jpg,0,0.63827425
000177.jpg,5,0.9543033
000178.jpg,1,0.47828242
000179.jpg,1,0.92693186
000180.jpg,0,0.61587113
000181.jpg,0,0.6683537
000182.jpg,0,0.9999927
000183.jpg,5,0.36697432
000184.jpg,2,0.988388
000185.jpg,1,0.57714856
000186.jpg,0,0.5871566
000187.jpg,1,0.5172385
000188.jpg,0,0.9768711
000189.jpg,1,0.7157018
000190.jpg,0,0.51617676
000191.jpg,1,0.7657315
000192.jpg,1,0.9999708
000193.jpg,1,0.64230233
000194.jpg,1,0.93399274
000195.jpg,3,0.49585986
000196.jpg,0,0.99891233
000197.jpg,1,0.99583143
000198.jpg,1,0.93236977
000199.jpg,0,0.5846491
000200.jpg,1,0.99411964
000201.jpg,0,0.5580669
000202.jpg,1,0.9097503
000203.jpg,2,0.2648952
000204.jpg,2,0.41991746
000205.jpg,1,0.82438874
000206.jpg,0,0.342884
000207.jpg,2,0.64992315
000208.jpg,3,0.63891613
000209.jpg,1,0.9583661
